"ID","Registry name","Temp.","RainType","Downfall","BiomeTypes","BiomeDictionary Types"
0,"minecraft:the_void",0.50,-,"0.50","","VOID"
1,"minecraft:plains",0.80,rain,"0.40","COOL, DESERT, DESERT_LEGACY, WARM","OVERWORLD, PLAINS"
2,"minecraft:sunflower_plains",0.80,rain,"0.40","","OVERWORLD, PLAINS, RARE"
3,"minecraft:snowy_plains",0.00,snow,"0.50","","COLD, OVERWORLD, SNOWY, WASTELAND"
4,"minecraft:ice_spikes",0.00,snow,"0.50","","COLD, OVERWORLD, RARE, SNOWY"
5,"minecraft:desert",2.00,-,"0.00","DESERT, DESERT_LEGACY","DRY, HOT, OVERWORLD, SANDY"
6,"minecraft:swamp",0.80,rain,"0.90","DESERT_LEGACY, WARM","OVERWORLD, SWAMP, WET"
7,"minecraft:forest",0.70,rain,"0.80","COOL, DESERT_LEGACY, WARM","FOREST, OVERWORLD"
8,"minecraft:flower_forest",0.70,rain,"0.80","","FOREST, OVERWORLD, RARE"
9,"minecraft:birch_forest",0.60,rain,"0.60","WARM","FOREST, OVERWORLD"
10,"minecraft:dark_forest",0.70,rain,"0.80","WARM","DENSE, FOREST, OVERWORLD, SPOOKY"
11,"minecraft:old_growth_birch_forest",0.60,rain,"0.60","","DENSE, FOREST, OVERWORLD, RARE"
12,"minecraft:old_growth_pine_taiga",0.30,rain,"0.80","","COLD, CONIFEROUS, FOREST, OVERWORLD"
13,"minecraft:old_growth_spruce_taiga",0.25,rain,"0.80","","DENSE, FOREST, OVERWORLD, RARE"
14,"minecraft:taiga",0.25,rain,"0.80","COOL, DESERT_LEGACY","COLD, CONIFEROUS, FOREST, OVERWORLD"
15,"minecraft:snowy_taiga",-0.50,snow,"0.40","ICY","COLD, CONIFEROUS, FOREST, OVERWORLD, SNOWY"
16,"minecraft:savanna",1.20,-,"0.00","DESERT","HOT, OVERWORLD, PLAINS, SAVANNA, SPARSE"
17,"minecraft:savanna_plateau",1.00,-,"0.00","","HOT, MOUNTAIN, OVERWORLD, PLAINS, PLATEAU, RARE, SAVANNA, SLOPE, SPARSE"
18,"minecraft:windswept_hills",0.20,rain,"0.30","","HILLS, OVERWORLD"
19,"minecraft:windswept_gravelly_hills",0.20,rain,"0.30","","HILLS, OVERWORLD, RARE, SPARSE"
20,"minecraft:windswept_forest",0.20,rain,"0.30","","FOREST, HILLS, OVERWORLD, SPARSE"
21,"minecraft:windswept_savanna",1.10,-,"0.00","","DRY, HILLS, HOT, OVERWORLD, RARE, SAVANNA, SPARSE"
22,"minecraft:jungle",0.95,rain,"0.90","","DENSE, HOT, JUNGLE, OVERWORLD, WET"
23,"minecraft:sparse_jungle",0.95,rain,"0.80","","FOREST, HOT, JUNGLE, OVERWORLD, RARE, WET"
24,"minecraft:bamboo_jungle",0.95,rain,"0.90","","HOT, JUNGLE, OVERWORLD, RARE, WET"
25,"minecraft:badlands",2.00,-,"0.00","","DRY, MESA, OVERWORLD, SANDY"
26,"minecraft:eroded_badlands",2.00,-,"0.00","","DRY, HOT, MESA, OVERWORLD, RARE, SPARSE"
27,"minecraft:wooded_badlands",2.00,-,"0.00","","DRY, MESA, MOUNTAIN, OVERWORLD, PLATEAU, SANDY, SLOPE, SPARSE"
28,"minecraft:meadow",0.50,rain,"0.80","","MOUNTAIN, OVERWORLD, PLAINS, PLATEAU, SLOPE"
29,"minecraft:grove",-0.20,snow,"0.80","","COLD, CONIFEROUS, FOREST, MOUNTAIN, OVERWORLD, SLOPE, SNOWY"
30,"minecraft:snowy_slopes",-0.30,snow,"0.90","","COLD, MOUNTAIN, OVERWORLD, SLOPE, SNOWY, SPARSE"
31,"minecraft:frozen_peaks",-0.70,snow,"0.90","","COLD, MOUNTAIN, OVERWORLD, PEAK, SNOWY, SPARSE"
